[  122.592,   137.536]; seg_len = 14.944; step_len =  1.376; score =  0.106;    1
[  123.264,   138.112]; seg_len = 14.848; step_len =  0.672; score =  0.106;    1
[  124.192,   139.136]; seg_len = 14.944; step_len =  0.928; score =  0.106;    1
[  125.408,   140.352]; seg_len = 14.944; step_len =  1.216; score =  0.106;    1
[  126.272,   141.056]; seg_len = 14.784; step_len =  0.864; score =  0.106;    1
[  128.704,   142.496]; seg_len = 13.792; step_len =  2.432; score =  0.106;    1
[  128.704,   142.496]; seg_len = 13.792; step_len =  0.000; score =  0.106;    1
[  129.152,   144.000]; seg_len = 14.848; step_len =  0.448; score =  0.106;    1
[  130.336,   145.184]; seg_len = 14.848; step_len =  1.184; score =  0.106;    1
[  131.200,   145.856]; seg_len = 14.656; step_len =  0.864; score =  0.106;    1
[  132.128,   146.720]; seg_len = 14.592; step_len =  0.928; score =  0.106;    1
[  133.120,   147.648]; seg_len = 14.528; step_len =  0.992; score =  0.106;    1
[  134.208,   149.088]; seg_len = 14.880; step_len =  1.088; score =  0.106;    1
[  135.168,   149.984]; seg_len = 14.816; step_len =  0.960; score =  0.212;    2
[  136.192,   151.104]; seg_len = 14.912; step_len =  1.024; score =  0.212;    2
[  137.152,   151.936]; seg_len = 14.784; step_len =  0.960; score =  0.212;    2
[  138.080,   152.992]; seg_len = 14.912; step_len =  0.928; score =  0.212;    2
[  139.104,   153.888]; seg_len = 14.784; step_len =  1.024; score =  0.212;    2
[  140.064,   154.560]; seg_len = 14.496; step_len =  0.960; score =  0.212;    2
[  141.056,   155.872]; seg_len = 14.816; step_len =  0.992; score =  0.212;    2
[  142.144,   157.056]; seg_len = 14.912; step_len =  1.088; score =  0.212;    2
[  143.744,   158.688]; seg_len = 14.944; step_len =  1.600; score =  0.212;    2
[  144.256,   159.104]; seg_len = 14.848; step_len =  0.512; score =  0.212;    2
[  145.184,   159.776]; seg_len = 14.592; step_len =  0.928; score =  0.212;    2
[  146.336,   160.640]; seg_len = 14.304; step_len =  1.152; score =  0.212;    2
[  147.264,   161.984]; seg_len = 14.720; step_len =  0.928; score =  0.212;    2
[  148.224,   163.168]; seg_len = 14.944; step_len =  0.960; score =  0.212;    2
[  148.992,   163.904]; seg_len = 14.912; step_len =  0.768; score =  0.212;    2
[  149.984,   164.640]; seg_len = 14.656; step_len =  0.992; score =  0.212;    2
[  151.072,   166.016]; seg_len = 14.944; step_len =  1.088; score =  0.212;    2
[  152.160,   167.104]; seg_len = 14.944; step_len =  1.088; score =  0.212;    2
[  152.960,   167.840]; seg_len = 14.880; step_len =  0.800; score =  0.212;    2
[  154.176,   169.056]; seg_len = 14.880; step_len =  1.216; score =  0.212;    2
[  155.200,   170.016]; seg_len = 14.816; step_len =  1.024; score =  0.212;    2
[  156.032,   170.976]; seg_len = 14.944; step_len =  0.832; score =  0.212;    2
[  156.928,   171.872]; seg_len = 14.944; step_len =  0.896; score =  0.212;    2
[  158.656,   172.064]; seg_len = 13.408; step_len =  1.728; score =  0.212;    2
[  158.944,   173.888]; seg_len = 14.944; step_len =  0.288; score =  0.212;    2
[  160.288,   174.752]; seg_len = 14.464; step_len =  1.344; score =  0.212;    2
[  161.696,   176.576]; seg_len = 14.880; step_len =  1.408; score =  0.212;    2
[  161.888,   176.832]; seg_len = 14.944; step_len =  0.192; score =  0.212;    2
[  162.880,   177.824]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  163.872,   178.816]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  165.216,   180.160]; seg_len = 14.944; step_len =  1.344; score =  0.212;    2
[  165.856,   180.800]; seg_len = 14.944; step_len =  0.640; score =  0.212;    2
[  166.848,   181.312]; seg_len = 14.464; step_len =  0.992; score =  0.212;    2
[  167.840,   182.784]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  168.960,   183.904]; seg_len = 14.944; step_len =  1.120; score =  0.212;    2
[  169.984,   184.480]; seg_len = 14.496; step_len =  1.024; score =  0.212;    2
[  170.816,   185.728]; seg_len = 14.912; step_len =  0.832; score =  0.212;    2
[  171.808,   186.752]; seg_len = 14.944; step_len =  0.992; score =  0.212;    2
[  173.696,   187.392]; seg_len = 13.696; step_len =  1.888; score =  0.212;    2
[  173.792,   188.736]; seg_len = 14.944; step_len =  0.096; score =  0.212;    2
