[   40.896,    50.816]; seg_len1 =  9.920; step_len1 =  1.024; [   41.312,    51.264]; seg_len2 =  9.952; step_len2 =  1.024; start_diff = -0.416; step_diff =  0.000; score = 16.3121;   92
[   41.856,    51.488]; seg_len1 =  9.632; step_len1 =  0.960; [   42.560,    52.512]; seg_len2 =  9.952; step_len2 =  1.248; start_diff = -0.704; step_diff = -0.288; score = 21.3777;   90
[   42.880,    51.488]; seg_len1 =  8.608; step_len1 =  1.024; [   43.328,    53.280]; seg_len2 =  9.952; step_len2 =  0.768; start_diff = -0.448; step_diff =  0.256; score = 25.8755;  133
[   43.840,    53.792]; seg_len1 =  9.952; step_len1 =  0.960; [   44.256,    53.920]; seg_len2 =  9.664; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.032; score = 22.0199;  133
[   44.896,    54.720]; seg_len1 =  9.824; step_len1 =  1.056; [   45.344,    54.560]; seg_len2 =  9.216; step_len2 =  1.088; start_diff = -0.448; step_diff = -0.032; score = 20.6655;  118
[   45.888,    55.840]; seg_len1 =  9.952; step_len1 =  0.992; [   46.272,    56.224]; seg_len2 =  9.952; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 22.6069;  111
[   47.328,    57.152]; seg_len1 =  9.824; step_len1 =  1.440; [   47.232,    57.184]; seg_len2 =  9.952; step_len2 =  0.960; start_diff =  0.096; step_diff =  0.480; score = 20.6299;  131
[   48.768,    58.720]; seg_len1 =  9.952; step_len1 =  1.440; [   48.480,    58.368]; seg_len2 =  9.888; step_len2 =  1.248; start_diff =  0.288; step_diff =  0.192; score = 16.3842;  145
[   48.800,    58.752]; seg_len1 =  9.952; step_len1 =  0.032; [   51.232,    61.184]; seg_len2 =  9.952; step_len2 =  2.752; start_diff = -2.432; step_diff = -2.720; score = 24.5225;  321
[   49.920,    59.872]; seg_len1 =  9.952; step_len1 =  1.120; [   51.232,    61.184]; seg_len2 =  9.952; step_len2 =  0.000; start_diff = -1.312; step_diff =  1.120; score = 22.7655;  298
[   50.784,    60.672]; seg_len1 =  9.888; step_len1 =  0.864; [   51.232,    61.184]; seg_len2 =  9.952; step_len2 =  0.000; start_diff = -0.448; step_diff =  0.864; score = 20.3972;  267
[   53.728,    63.648]; seg_len1 =  9.920; step_len1 =  2.944; [   52.384,    62.336]; seg_len2 =  9.952; step_len2 =  1.152; start_diff =  1.344; step_diff =  1.792; score = 18.6572;  264
[   53.728,    63.648]; seg_len1 =  9.920; step_len1 =  0.000; [   53.184,    62.976]; seg_len2 =  9.792; step_len2 =  0.800; start_diff =  0.544; step_diff = -0.800; score = 19.9074;  301
[   53.760,    63.712]; seg_len1 =  9.952; step_len1 =  0.032; [   54.560,    64.480]; seg_len2 =  9.920; step_len2 =  1.376; start_diff = -0.800; step_diff = -1.344; score = 29.0239;  449
[   55.072,    64.928]; seg_len1 =  9.856; step_len1 =  1.312; [   56.192,    65.440]; seg_len2 =  9.248; step_len2 =  1.632; start_diff = -1.120; step_diff = -0.320; score = 28.9346;  478
[   55.776,    65.728]; seg_len1 =  9.952; step_len1 =  0.704; [   56.192,    65.440]; seg_len2 =  9.248; step_len2 =  0.000; start_diff = -0.416; step_diff =  0.704; score = 28.5109;  471
[   56.768,    66.656]; seg_len1 =  9.888; step_len1 =  0.992; [   57.184,    66.880]; seg_len2 =  9.696; step_len2 =  0.992; start_diff = -0.416; step_diff =  0.000; score = 27.5862;  448
[   57.760,    67.360]; seg_len1 =  9.600; step_len1 =  0.992; [   58.240,    68.160]; seg_len2 =  9.920; step_len2 =  1.056; start_diff = -0.480; step_diff = -0.064; score = 24.6429;  414
[   58.720,    67.360]; seg_len1 =  8.640; step_len1 =  0.960; [   59.264,    69.056]; seg_len2 =  9.792; step_len2 =  1.024; start_diff = -0.544; step_diff = -0.064; score = 21.9849;  350
[   59.712,    69.664]; seg_len1 =  9.952; step_len1 =  0.992; [   60.128,    69.920]; seg_len2 =  9.792; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.128; score = 21.5139;  324
[   60.800,    70.752]; seg_len1 =  9.952; step_len1 =  1.088; [   61.152,    70.880]; seg_len2 =  9.728; step_len2 =  1.024; start_diff = -0.352; step_diff =  0.064; score = 21.1070;  286
[   61.696,    71.584]; seg_len1 =  9.888; step_len1 =  0.896; [   62.112,    72.032]; seg_len2 =  9.920; step_len2 =  0.960; start_diff = -0.416; step_diff = -0.064; score = 17.8203;  242
[   62.688,    72.544]; seg_len1 =  9.856; step_len1 =  0.992; [   63.264,    73.216]; seg_len2 =  9.952; step_len2 =  1.152; start_diff = -0.576; step_diff = -0.160; score = 14.8968;  202
[   63.712,    73.440]; seg_len1 =  9.728; step_len1 =  1.024; [   64.128,    74.048]; seg_len2 =  9.920; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.160; score = 18.2498;  244
[   64.672,    74.304]; seg_len1 =  9.632; step_len1 =  0.960; [   65.088,    75.008]; seg_len2 =  9.920; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.000; score = 23.0885;  308
[   65.664,    75.488]; seg_len1 =  9.824; step_len1 =  0.992; [   66.208,    76.160]; seg_len2 =  9.952; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.128; score = 25.4584;  361
[   66.656,    76.576]; seg_len1 =  9.920; step_len1 =  0.992; [   67.168,    76.832]; seg_len2 =  9.664; step_len2 =  0.960; start_diff = -0.512; step_diff =  0.032; score = 28.1999;  412
[   68.704,    78.656]; seg_len1 =  9.952; step_len1 =  2.048; [   68.064,    77.952]; seg_len2 =  9.888; step_len2 =  0.896; start_diff =  0.640; step_diff =  1.152; score = 31.7638;  425
[   68.704,    78.656]; seg_len1 =  9.952; step_len1 =  0.000; [   69.056,    79.008]; seg_len2 =  9.952; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.992; score = 35.6734;  498
[   69.632,    79.392]; seg_len1 =  9.760; step_len1 =  0.928; [   70.816,    80.736]; seg_len2 =  9.920; step_len2 =  1.760; start_diff = -1.184; step_diff = -0.832; score = 36.3158;  552
[   70.720,    80.352]; seg_len1 =  9.632; step_len1 =  1.088; [   71.200,    81.120]; seg_len2 =  9.920; step_len2 =  0.384; start_diff = -0.480; step_diff =  0.704; score = 36.0156;  555
[   71.840,    81.728]; seg_len1 =  9.888; step_len1 =  1.120; [   72.032,    81.952]; seg_len2 =  9.920; step_len2 =  0.832; start_diff = -0.192; step_diff =  0.288; score = 31.3844;  467
[   72.704,    82.592]; seg_len1 =  9.888; step_len1 =  0.864; [   73.152,    82.816]; seg_len2 =  9.664; step_len2 =  1.120; start_diff = -0.448; step_diff = -0.256; score = 27.6455;  418
[   73.696,    83.584]; seg_len1 =  9.888; step_len1 =  0.992; [   74.048,    84.000]; seg_len2 =  9.952; step_len2 =  0.896; start_diff = -0.352; step_diff =  0.096; score = 28.9688;  427
[   74.752,    84.704]; seg_len1 =  9.952; step_len1 =  1.056; [   75.008,    84.800]; seg_len2 =  9.792; step_len2 =  0.960; start_diff = -0.256; step_diff =  0.096; score = 25.9157;  375
[   75.872,    85.216]; seg_len1 =  9.344; step_len1 =  1.120; [   76.160,    86.016]; seg_len2 =  9.856; step_len2 =  1.152; start_diff = -0.288; step_diff = -0.032; score = 26.8141;  388
[   76.576,    86.528]; seg_len1 =  9.952; step_len1 =  0.704; [   77.216,    87.168]; seg_len2 =  9.952; step_len2 =  1.056; start_diff = -0.640; step_diff = -0.352; score = 27.7323;  373
[   77.760,    87.584]; seg_len1 =  9.824; step_len1 =  1.184; [   78.368,    88.320]; seg_len2 =  9.952; step_len2 =  1.152; start_diff = -0.608; step_diff =  0.032; score = 26.9529;  383
