[  158.656,   163.168]; seg_len =  4.512; step_len =  1.728; score =  0.313;    1
[  158.944,   163.904]; seg_len =  4.960; step_len =  0.288; score =  0.313;    1
[  160.288,   165.216]; seg_len =  4.928; step_len =  1.344; score =  0.313;    1
[  161.696,   166.592]; seg_len =  4.896; step_len =  1.408; score =  0.313;    1
[  161.888,   166.848]; seg_len =  4.960; step_len =  0.192; score =  0.313;    1
[  162.880,   167.840]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  163.872,   168.704]; seg_len =  4.832; step_len =  0.992; score =  0.313;    1
[  165.216,   170.016]; seg_len =  4.800; step_len =  1.344; score =  0.313;    1
[  165.856,   170.816]; seg_len =  4.960; step_len =  0.640; score =  0.313;    1
[  166.848,   171.808]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  167.840,   172.064]; seg_len =  4.224; step_len =  0.992; score =  0.000;    0
[  168.960,   173.920]; seg_len =  4.960; step_len =  1.120; score =  0.000;    0
[  169.984,   174.752]; seg_len =  4.768; step_len =  1.024; score =  0.000;    0
[  170.816,   175.616]; seg_len =  4.800; step_len =  0.832; score =  0.313;    1
[  171.808,   176.768]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  173.696,   178.656]; seg_len =  4.960; step_len =  1.888; score =  0.313;    1
[  173.792,   178.720]; seg_len =  4.928; step_len =  0.096; score =  0.313;    1
[  175.424,   180.352]; seg_len =  4.928; step_len =  1.632; score =  0.313;    1
[  176.192,   181.152]; seg_len =  4.960; step_len =  0.768; score =  0.000;    0
[  176.768,   181.312]; seg_len =  4.544; step_len =  0.576; score =  0.000;    0
[  177.824,   182.784]; seg_len =  4.960; step_len =  1.056; score =  0.313;    1
[  178.784,   183.648]; seg_len =  4.864; step_len =  0.960; score =  0.313;    1
[  180.160,   185.120]; seg_len =  4.960; step_len =  1.376; score =  0.313;    1
[  180.800,   185.728]; seg_len =  4.928; step_len =  0.640; score =  0.313;    1
[  182.240,   187.200]; seg_len =  4.960; step_len =  1.440; score =  0.313;    1
[  182.720,   187.392]; seg_len =  4.672; step_len =  0.480; score =  0.313;    1
[  183.840,   188.800]; seg_len =  4.960; step_len =  1.120; score =  0.313;    1
[  185.056,   189.344]; seg_len =  4.288; step_len =  1.216; score =  0.313;    1
[  185.696,   190.592]; seg_len =  4.896; step_len =  0.640; score =  0.000;    0
[  186.720,   191.680]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[  188.736,   193.568]; seg_len =  4.832; step_len =  2.016; score =  0.000;    0
[  188.736,   193.568]; seg_len =  4.832; step_len =  0.000; score =  0.000;    0
[  190.176,   195.136]; seg_len =  4.960; step_len =  1.440; score =  0.000;    0
[  190.720,   195.616]; seg_len =  4.896; step_len =  0.544; score =  0.000;    0
[  191.680,   196.640]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  192.736,   197.344]; seg_len =  4.608; step_len =  1.056; score =  0.000;    0
[  193.728,   198.560]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[  194.656,   199.552]; seg_len =  4.896; step_len =  0.928; score =  0.000;    0
[  195.616,   200.576]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  196.640,   201.568]; seg_len =  4.928; step_len =  1.024; score =  0.313;    1
[  197.856,   202.464]; seg_len =  4.608; step_len =  1.216; score =  0.313;    1
[  198.720,   202.464]; seg_len =  3.744; step_len =  0.864; score =  0.313;    1
[  199.680,   204.064]; seg_len =  4.384; step_len =  0.960; score =  0.313;    1
[  200.576,   205.536]; seg_len =  4.960; step_len =  0.896; score =  0.313;    1
[  201.568,   206.400]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[  203.744,   208.704]; seg_len =  4.960; step_len =  2.176; score =  0.000;    0
[  203.744,   208.704]; seg_len =  4.960; step_len =  0.000; score =  0.000;    0
[  204.672,   209.568]; seg_len =  4.896; step_len =  0.928; score =  0.000;    0
[  205.536,   210.400]; seg_len =  4.864; step_len =  0.864; score =  0.000;    0
[  206.752,   211.584]; seg_len =  4.832; step_len =  1.216; score =  0.000;    0
[  207.840,   212.736]; seg_len =  4.896; step_len =  1.088; score =  0.000;    0
[  208.512,   213.440]; seg_len =  4.928; step_len =  0.672; score =  0.000;    0
[  209.536,   214.496]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[  210.560,   215.392]; seg_len =  4.832; step_len =  1.024; score =  0.000;    0
[  211.488,   216.288]; seg_len =  4.800; step_len =  0.928; score =  0.000;    0
[  212.576,   217.376]; seg_len =  4.800; step_len =  1.088; score =  0.000;    0
[  213.696,   218.496]; seg_len =  4.800; step_len =  1.120; score =  0.000;    0
[  214.464,   219.424]; seg_len =  4.960; step_len =  0.768; score =  0.000;    0
[  216.256,   221.216]; seg_len =  4.960; step_len =  1.792; score =  0.000;    0
[  217.056,   221.696]; seg_len =  4.640; step_len =  0.800; score =  0.000;    0
[  217.568,   222.528]; seg_len =  4.960; step_len =  0.512; score =  0.000;    0
[  218.432,   222.784]; seg_len =  4.352; step_len =  0.864; score =  0.000;    0
[  219.424,   224.384]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  220.416,   225.376]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  221.664,   225.984]; seg_len =  4.320; step_len =  1.248; score =  0.000;    0
[  222.400,   227.232]; seg_len =  4.832; step_len =  0.736; score =  0.627;    2
[  223.680,   228.064]; seg_len =  4.384; step_len =  1.280; score =  0.627;    2
[  224.384,   228.800]; seg_len =  4.416; step_len =  0.704; score =  0.627;    2
[  225.376,   230.176]; seg_len =  4.800; step_len =  0.992; score =  0.627;    2
[  226.720,   231.456]; seg_len =  4.736; step_len =  1.344; score =  0.627;    2
[  227.616,   232.256]; seg_len =  4.640; step_len =  0.896; score =  0.000;    0
[  228.800,   233.696]; seg_len =  4.896; step_len =  1.184; score =  0.000;    0
[  229.856,   234.752]; seg_len =  4.896; step_len =  1.056; score =  0.000;    0
[  230.368,   235.232]; seg_len =  4.864; step_len =  0.512; score =  0.000;    0
[  231.456,   236.128]; seg_len =  4.672; step_len =  1.088; score =  0.000;    0
[  232.736,   237.696]; seg_len =  4.960; step_len =  1.280; score =  0.000;    0
[  233.344,   238.208]; seg_len =  4.864; step_len =  0.608; score =  0.000;    0
[  234.304,   239.200]; seg_len =  4.896; step_len =  0.960; score =  0.000;    0
[  235.456,   240.160]; seg_len =  4.704; step_len =  1.152; score =  0.000;    0
[  236.480,   241.440]; seg_len =  4.960; step_len =  1.024; score =  0.000;    0
[  237.312,   242.272]; seg_len =  4.960; step_len =  0.832; score =  0.000;    0
[  238.400,   243.360]; seg_len =  4.960; step_len =  1.088; score =  0.000;    0
[  239.360,   244.320]; seg_len =  4.960; step_len =  0.960; score =  0.000;    0
[  240.512,   245.440]; seg_len =  4.928; step_len =  1.152; score =  0.000;    0
[  241.248,   246.208]; seg_len =  4.960; step_len =  0.736; score =  0.000;    0
[  242.240,   247.168]; seg_len =  4.928; step_len =  0.992; score =  0.000;    0
[  243.328,   247.968]; seg_len =  4.640; step_len =  1.088; score =  0.000;    0
[  244.288,   249.216]; seg_len =  4.928; step_len =  0.960; score =  0.000;    0
[  245.216,   250.048]; seg_len =  4.832; step_len =  0.928; score =  0.000;    0
[  246.208,   251.168]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  247.264,   252.224]; seg_len =  4.960; step_len =  1.056; score =  0.313;    1
[  248.320,   253.280]; seg_len =  4.960; step_len =  1.056; score =  0.313;    1
[  249.184,   254.144]; seg_len =  4.960; step_len =  0.864; score =  0.313;    1
[  250.464,   255.392]; seg_len =  4.928; step_len =  1.280; score =  0.313;    1
[  251.168,   256.096]; seg_len =  4.928; step_len =  0.704; score =  0.313;    1
[  252.160,   256.992]; seg_len =  4.832; step_len =  0.992; score =  0.000;    0
[  253.216,   258.176]; seg_len =  4.960; step_len =  1.056; score =  0.000;    0
[  254.144,   259.104]; seg_len =  4.960; step_len =  0.928; score =  0.000;    0
[  255.168,   260.064]; seg_len =  4.896; step_len =  1.024; score =  0.000;    0
[  256.160,   261.120]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  257.216,   262.080]; seg_len =  4.864; step_len =  1.056; score =  0.000;    0
[  258.112,   263.040]; seg_len =  4.928; step_len =  0.896; score =  0.000;    0
[  259.104,   264.000]; seg_len =  4.896; step_len =  0.992; score =  0.000;    0
[  260.160,   265.056]; seg_len =  4.896; step_len =  1.056; score =  0.000;    0
[  261.088,   266.048]; seg_len =  4.960; step_len =  0.928; score =  0.000;    0
[  262.080,   267.040]; seg_len =  4.960; step_len =  0.992; score =  0.313;    1
[  263.136,   268.096]; seg_len =  4.960; step_len =  1.056; score =  0.313;    1
[  264.096,   268.736]; seg_len =  4.640; step_len =  0.960; score =  0.313;    1
[  265.056,   270.016]; seg_len =  4.960; step_len =  0.960; score =  0.313;    1
[  266.048,   270.912]; seg_len =  4.864; step_len =  0.992; score =  0.313;    1
[  267.040,   272.000]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  268.032,   272.992]; seg_len =  4.960; step_len =  0.992; score =  0.000;    0
[  269.312,   274.272]; seg_len =  4.960; step_len =  1.280; score =  0.313;    1
[  270.016,   274.880]; seg_len =  4.864; step_len =  0.704; score =  0.313;    1
[  271.200,   276.128]; seg_len =  4.928; step_len =  1.184; score =  0.313;    1
[  272.000,   276.704]; seg_len =  4.704; step_len =  0.800; score =  0.313;    1
[  272.992,   277.728]; seg_len =  4.736; step_len =  0.992; score =  0.313;    1
[  273.984,   278.720]; seg_len =  4.736; step_len =  0.992; score =  0.313;    1
[  275.072,   280.032]; seg_len =  4.960; step_len =  1.088; score =  0.313;    1
[  275.968,   280.800]; seg_len =  4.832; step_len =  0.896; score =  0.000;    0
[  277.152,   282.112]; seg_len =  4.960; step_len =  1.184; score =  0.000;    0
[  278.048,   282.816]; seg_len =  4.768; step_len =  0.896; score =  0.000;    0
[  279.008,   283.840]; seg_len =  4.832; step_len =  0.960; score =  0.000;    0
[  279.968,   284.864]; seg_len =  4.896; step_len =  0.960; score =  0.313;    1
[  281.216,   286.176]; seg_len =  4.960; step_len =  1.248; score =  0.313;    1
[  281.920,   286.528]; seg_len =  4.608; step_len =  0.704; score =  0.313;    1
