[   60.800,    65.760]; seg_len1 =  4.960; step_len1 =  1.088; [   61.152,    65.440]; seg_len2 =  4.288; step_len2 =  1.024; start_diff = -0.352; step_diff =  0.064; score = 27.3352;  199
[   61.696,    66.656]; seg_len1 =  4.960; step_len1 =  0.896; [   62.112,    66.880]; seg_len2 =  4.768; step_len2 =  0.960; start_diff = -0.416; step_diff = -0.064; score = 17.1018;  131
[   62.688,    67.360]; seg_len1 =  4.672; step_len1 =  0.992; [   63.264,    68.224]; seg_len2 =  4.960; step_len2 =  1.152; start_diff = -0.576; step_diff = -0.160; score =  7.9636;   70
[   63.712,    67.360]; seg_len1 =  3.648; step_len1 =  1.024; [   64.128,    69.056]; seg_len2 =  4.928; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.160; score =  7.6031;   59
[   64.672,    69.632]; seg_len1 =  4.960; step_len1 =  0.960; [   65.088,    69.920]; seg_len2 =  4.832; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.000; score = 11.3772;   76
[   65.664,    70.112]; seg_len1 =  4.448; step_len1 =  0.992; [   66.208,    70.880]; seg_len2 =  4.672; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.128; score =  9.0909;   57
[   66.656,    71.584]; seg_len1 =  4.928; step_len1 =  0.992; [   67.168,    72.128]; seg_len2 =  4.960; step_len2 =  0.960; start_diff = -0.512; step_diff =  0.032; score = 10.9737;   71
[   68.704,    73.440]; seg_len1 =  4.736; step_len1 =  2.048; [   68.064,    72.576]; seg_len2 =  4.512; step_len2 =  0.896; start_diff =  0.640; step_diff =  1.152; score = 10.7075;   56
[   68.704,    73.440]; seg_len1 =  4.736; step_len1 =  0.000; [   69.056,    73.984]; seg_len2 =  4.928; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.992; score = 27.1626;  157
[   69.632,    74.304]; seg_len1 =  4.672; step_len1 =  0.928; [   70.816,    75.776]; seg_len2 =  4.960; step_len2 =  1.760; start_diff = -1.184; step_diff = -0.832; score = 29.4118;  220
[   70.720,    75.488]; seg_len1 =  4.768; step_len1 =  1.088; [   71.200,    76.160]; seg_len2 =  4.960; step_len2 =  0.384; start_diff = -0.480; step_diff =  0.704; score = 31.3527;  248
[   71.840,    76.768]; seg_len1 =  4.928; step_len1 =  1.120; [   72.032,    76.832]; seg_len2 =  4.800; step_len2 =  0.832; start_diff = -0.192; step_diff =  0.288; score = 26.0321;  227
[   72.704,    77.536]; seg_len1 =  4.832; step_len1 =  0.864; [   73.152,    77.952]; seg_len2 =  4.800; step_len2 =  1.120; start_diff = -0.448; step_diff = -0.256; score = 23.6810;  193
[   73.696,    78.656]; seg_len1 =  4.960; step_len1 =  0.992; [   74.048,    79.008]; seg_len2 =  4.960; step_len2 =  0.896; start_diff = -0.352; step_diff =  0.096; score = 24.4499;  200
[   74.752,    79.712]; seg_len1 =  4.960; step_len1 =  1.056; [   75.008,    79.968]; seg_len2 =  4.960; step_len2 =  0.960; start_diff = -0.256; step_diff =  0.096; score = 22.2363;  175
[   75.872,    80.832]; seg_len1 =  4.960; step_len1 =  1.120; [   76.160,    81.120]; seg_len2 =  4.960; step_len2 =  1.152; start_diff = -0.288; step_diff = -0.032; score = 24.0310;  186
[   76.576,    81.536]; seg_len1 =  4.960; step_len1 =  0.704; [   77.216,    82.176]; seg_len2 =  4.960; step_len2 =  1.056; start_diff = -0.640; step_diff = -0.352; score = 19.4145;  126
[   77.760,    82.720]; seg_len1 =  4.960; step_len1 =  1.184; [   78.368,    83.328]; seg_len2 =  4.960; step_len2 =  1.152; start_diff = -0.608; step_diff =  0.032; score = 17.1679;  137
[   78.560,    83.520]; seg_len1 =  4.960; step_len1 =  0.800; [   78.976,    83.936]; seg_len2 =  4.960; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.192; score = 17.8248;  118
[   79.680,    84.640]; seg_len1 =  4.960; step_len1 =  1.120; [   79.968,    84.800]; seg_len2 =  4.832; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 19.8822;  135
[   80.800,    85.216]; seg_len1 =  4.416; step_len1 =  1.120; [   80.960,    85.920]; seg_len2 =  4.960; step_len2 =  0.992; start_diff = -0.160; step_diff =  0.128; score = 22.1607;  160
[   81.536,    86.016]; seg_len1 =  4.480; step_len1 =  0.736; [   81.952,    86.528]; seg_len2 =  4.576; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.256; score = 17.9567;  116
[   82.560,    87.392]; seg_len1 =  4.832; step_len1 =  1.024; [   83.264,    87.808]; seg_len2 =  4.544; step_len2 =  1.312; start_diff = -0.704; step_diff = -0.288; score = 22.9769;  159
[   83.520,    87.968]; seg_len1 =  4.448; step_len1 =  0.960; [   83.936,    88.736]; seg_len2 =  4.800; step_len2 =  0.672; start_diff = -0.416; step_diff =  0.288; score = 24.6398;  171
[   84.512,    89.472]; seg_len1 =  4.960; step_len1 =  0.992; [   85.024,    89.856]; seg_len2 =  4.832; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 34.0000;  221
[   85.856,    90.816]; seg_len1 =  4.960; step_len1 =  1.344; [   85.920,    90.464]; seg_len2 =  4.544; step_len2 =  0.896; start_diff = -0.064; step_diff =  0.448; score = 24.4080;  134
[   86.528,    91.360]; seg_len1 =  4.832; step_len1 =  0.672; [   87.040,    91.936]; seg_len2 =  4.896; step_len2 =  1.120; start_diff = -0.512; step_diff = -0.448; score = 20.6349;  117
[   87.552,    92.352]; seg_len1 =  4.800; step_len1 =  1.024; [   88.320,    92.736]; seg_len2 =  4.416; step_len2 =  1.280; start_diff = -0.768; step_diff = -0.256; score = 23.1788;  105
[   88.864,    93.696]; seg_len1 =  4.832; step_len1 =  1.312; [   89.024,    93.856]; seg_len2 =  4.832; step_len2 =  0.704; start_diff = -0.160; step_diff =  0.608; score = 34.3575;  123
[   89.472,    94.176]; seg_len1 =  4.704; step_len1 =  0.608; [   90.016,    94.784]; seg_len2 =  4.768; step_len2 =  0.992; start_diff = -0.544; step_diff = -0.384; score = 40.3909;  124
