[   41.856,    81.728]; seg_len1 = 39.872; step_len1 =  0.960; [   42.560,    82.400]; seg_len2 = 39.840; step_len2 =  1.248; start_diff = -0.704; step_diff = -0.288; score = 29.5610; 1387
[   42.880,    82.848]; seg_len1 = 39.968; step_len1 =  1.024; [   43.328,    83.296]; seg_len2 = 39.968; step_len2 =  0.768; start_diff = -0.448; step_diff =  0.256; score = 29.7005; 1428
[   43.840,    83.808]; seg_len1 = 39.968; step_len1 =  0.960; [   44.256,    84.192]; seg_len2 = 39.936; step_len2 =  0.928; start_diff = -0.416; step_diff =  0.032; score = 30.2004; 1462
[   44.896,    84.704]; seg_len1 = 39.808; step_len1 =  1.056; [   45.344,    85.312]; seg_len2 = 39.968; step_len2 =  1.088; start_diff = -0.448; step_diff = -0.032; score = 29.8253; 1485
[   45.888,    85.856]; seg_len1 = 39.968; step_len1 =  0.992; [   46.272,    86.240]; seg_len2 = 39.968; step_len2 =  0.928; start_diff = -0.384; step_diff =  0.064; score = 30.2679; 1514
[   47.328,    87.264]; seg_len1 = 39.936; step_len1 =  1.440; [   47.232,    87.168]; seg_len2 = 39.936; step_len2 =  0.960; start_diff =  0.096; step_diff =  0.480; score = 31.1469; 1567
[   48.768,    87.968]; seg_len1 = 39.200; step_len1 =  1.440; [   48.480,    88.448]; seg_len2 = 39.968; step_len2 =  1.248; start_diff =  0.288; step_diff =  0.192; score = 31.9516; 1665
[   48.800,    87.968]; seg_len1 = 39.168; step_len1 =  0.032; [   51.232,    90.464]; seg_len2 = 39.232; step_len2 =  2.752; start_diff = -2.432; step_diff = -2.720; score = 32.4053; 1746
[   49.920,    89.856]; seg_len1 = 39.936; step_len1 =  1.120; [   51.232,    90.464]; seg_len2 = 39.232; step_len2 =  0.000; start_diff = -1.312; step_diff =  1.120; score = 31.9785; 1723
[   50.784,    90.304]; seg_len1 = 39.520; step_len1 =  0.864; [   51.232,    90.464]; seg_len2 = 39.232; step_len2 =  0.000; start_diff = -0.448; step_diff =  0.864; score = 31.4031; 1692
[   53.728,    93.696]; seg_len1 = 39.968; step_len1 =  2.944; [   52.384,    92.320]; seg_len2 = 39.936; step_len2 =  1.152; start_diff =  1.344; step_diff =  1.792; score = 31.3473; 1731
