[   61.696,    76.640]; seg_len1 = 14.944; step_len1 =  0.896; [   62.112,    76.832]; seg_len2 = 14.720; step_len2 =  0.960; start_diff = -0.416; step_diff = -0.064; score = 26.5379;  591
[   62.688,    77.536]; seg_len1 = 14.848; step_len1 =  0.992; [   63.264,    77.952]; seg_len2 = 14.688; step_len2 =  1.152; start_diff = -0.576; step_diff = -0.160; score = 25.4856;  538
[   63.712,    78.656]; seg_len1 = 14.944; step_len1 =  1.024; [   64.128,    79.072]; seg_len2 = 14.944; step_len2 =  0.864; start_diff = -0.416; step_diff =  0.160; score = 27.1926;  586
[   64.672,    79.392]; seg_len1 = 14.720; step_len1 =  0.960; [   65.088,    79.968]; seg_len2 = 14.880; step_len2 =  0.960; start_diff = -0.416; step_diff =  0.000; score = 29.9953;  635
[   65.664,    80.352]; seg_len1 = 14.688; step_len1 =  0.992; [   66.208,    81.120]; seg_len2 = 14.912; step_len2 =  1.120; start_diff = -0.544; step_diff = -0.128; score = 30.8118;  668
[   66.656,    81.600]; seg_len1 = 14.944; step_len1 =  0.992; [   67.168,    82.112]; seg_len2 = 14.944; step_len2 =  0.960; start_diff = -0.512; step_diff =  0.032; score = 31.3160;  652
[   68.704,    83.584]; seg_len1 = 14.880; step_len1 =  2.048; [   68.064,    82.816]; seg_len2 = 14.752; step_len2 =  0.896; start_diff =  0.640; step_diff =  1.152; score = 31.9410;  650
[   68.704,    83.584]; seg_len1 = 14.880; step_len1 =  0.000; [   69.056,    84.000]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.352; step_diff = -0.992; score = 35.3314;  725
[   69.632,    84.576]; seg_len1 = 14.944; step_len1 =  0.928; [   70.816,    85.760]; seg_len2 = 14.944; step_len2 =  1.760; start_diff = -1.184; step_diff = -0.832; score = 34.3877;  761
[   70.720,    85.216]; seg_len1 = 14.496; step_len1 =  1.088; [   71.200,    86.016]; seg_len2 = 14.816; step_len2 =  0.384; start_diff = -0.480; step_diff =  0.704; score = 34.1915;  757
[   71.840,    86.784]; seg_len1 = 14.944; step_len1 =  1.120; [   72.032,    86.528]; seg_len2 = 14.496; step_len2 =  0.832; start_diff = -0.192; step_diff =  0.288; score = 31.4728;  671
[   72.704,    87.584]; seg_len1 = 14.880; step_len1 =  0.864; [   73.152,    87.808]; seg_len2 = 14.656; step_len2 =  1.120; start_diff = -0.448; step_diff = -0.256; score = 31.1252;  686
[   73.696,    87.968]; seg_len1 = 14.272; step_len1 =  0.992; [   74.048,    88.736]; seg_len2 = 14.688; step_len2 =  0.896; start_diff = -0.352; step_diff =  0.096; score = 32.0657;  683
[   74.752,    89.632]; seg_len1 = 14.880; step_len1 =  1.056; [   75.008,    89.856]; seg_len2 = 14.848; step_len2 =  0.960; start_diff = -0.256; step_diff =  0.096; score = 31.7120;  665
[   75.872,    90.816]; seg_len1 = 14.944; step_len1 =  1.120; [   76.160,    90.464]; seg_len2 = 14.304; step_len2 =  1.152; start_diff = -0.288; step_diff = -0.032; score = 31.7790;  627
[   76.576,    91.520]; seg_len1 = 14.944; step_len1 =  0.704; [   77.216,    92.160]; seg_len2 = 14.944; step_len2 =  1.056; start_diff = -0.640; step_diff = -0.352; score = 33.7440;  630
[   77.760,    92.704]; seg_len1 = 14.944; step_len1 =  1.184; [   78.368,    92.736]; seg_len2 = 14.368; step_len2 =  1.152; start_diff = -0.608; step_diff =  0.032; score = 32.3018;  595
[   78.560,    93.472]; seg_len1 = 14.912; step_len1 =  0.800; [   78.976,    93.856]; seg_len2 = 14.880; step_len2 =  0.608; start_diff = -0.416; step_diff =  0.192; score = 34.0949;  582
[   79.680,    94.592]; seg_len1 = 14.912; step_len1 =  1.120; [   79.968,    94.784]; seg_len2 = 14.816; step_len2 =  0.992; start_diff = -0.288; step_diff =  0.128; score = 35.6968;  584
[   80.800,    95.744]; seg_len1 = 14.944; step_len1 =  1.120; [   80.960,    95.904]; seg_len2 = 14.944; step_len2 =  0.992; start_diff = -0.160; step_diff =  0.128; score = 36.0656;  616
[   81.536,    96.288]; seg_len1 = 14.752; step_len1 =  0.736; [   81.952,    96.672]; seg_len2 = 14.720; step_len2 =  0.992; start_diff = -0.416; step_diff = -0.256; score = 35.4345;  579
[   82.560,    96.896]; seg_len1 = 14.336; step_len1 =  1.024; [   83.264,    98.208]; seg_len2 = 14.944; step_len2 =  1.312; start_diff = -0.704; step_diff = -0.288; score = 36.3918;  587
[   83.520,    96.896]; seg_len1 = 13.376; step_len1 =  0.960; [   83.936,    98.752]; seg_len2 = 14.816; step_len2 =  0.672; start_diff = -0.416; step_diff =  0.288; score = 35.8647;  562
[   84.512,    99.072]; seg_len1 = 14.560; step_len1 =  0.992; [   85.024,    99.968]; seg_len2 = 14.944; step_len2 =  1.088; start_diff = -0.512; step_diff = -0.096; score = 36.2309;  546
[   85.856,   100.320]; seg_len1 = 14.464; step_len1 =  1.344; [   85.920,   100.832]; seg_len2 = 14.912; step_len2 =  0.896; start_diff = -0.064; step_diff =  0.448; score = 32.7822;  456
[   86.528,   101.472]; seg_len1 = 14.944; step_len1 =  0.672; [   87.040,   101.760]; seg_len2 = 14.720; step_len2 =  1.120; start_diff = -0.512; step_diff = -0.448; score = 30.4378;  438
[   87.552,   102.400]; seg_len1 = 14.848; step_len1 =  1.024; [   88.320,   103.200]; seg_len2 = 14.880; step_len2 =  1.280; start_diff = -0.768; step_diff = -0.256; score = 27.9326;  381
[   88.864,   103.680]; seg_len1 = 14.816; step_len1 =  1.312; [   89.024,   103.968]; seg_len2 = 14.944; step_len2 =  0.704; start_diff = -0.160; step_diff =  0.608; score = 29.5403;  392
[   89.472,   104.160]; seg_len1 = 14.688; step_len1 =  0.608; [   90.016,   104.832]; seg_len2 = 14.816; step_len2 =  0.992; start_diff = -0.544; step_diff = -0.384; score = 27.2270;  379
[   90.784,   105.632]; seg_len1 = 14.848; step_len1 =  1.312; [   91.328,   106.144]; seg_len2 = 14.816; step_len2 =  1.312; start_diff = -0.544; step_diff =  0.000; score = 23.3486;  357
[   91.520,   106.336]; seg_len1 = 14.816; step_len1 =  0.736; [   91.904,   106.848]; seg_len2 = 14.944; step_len2 =  0.576; start_diff = -0.384; step_diff =  0.160; score = 25.0316;  396
[   92.576,   107.296]; seg_len1 = 14.720; step_len1 =  1.056; [   93.728,   108.672]; seg_len2 = 14.944; step_len2 =  1.824; start_diff = -1.152; step_diff = -0.768; score = 25.1309;  432
[   93.440,   108.256]; seg_len1 = 14.816; step_len1 =  0.864; [   93.856,   108.736]; seg_len2 = 14.880; step_len2 =  0.128; start_diff = -0.416; step_diff =  0.736; score = 22.2937;  381
[   94.560,   109.504]; seg_len1 = 14.944; step_len1 =  1.120; [   95.168,   110.112]; seg_len2 = 14.944; step_len2 =  1.312; start_diff = -0.608; step_diff = -0.192; score = 21.7839;  381
[   95.424,   110.048]; seg_len1 = 14.624; step_len1 =  0.864; [   95.872,   110.720]; seg_len2 = 14.848; step_len2 =  0.704; start_diff = -0.448; step_diff =  0.160; score = 21.5869;  370
